type,matchtype,text
I,III,"兩人皆有理想、認真且能為共同目標放下個人情感。處理關係問題上，會以非常理性的角度及實事求事的方法討論及解決問題。你為他帶來現實及沉著。他能讓你減少完美主義。
但同時你也認為他太過實際、工作狂及只顧自己的形象，不滿對方為了目的而放棄道德標準。建議別過於固執及武斷，否則對方容易認為你只著重細節而不顧結果。"
I,IV,"兩人都渴望將美好的元素帶到世界當中。一號在四號複雜的感受及自我懷疑中提供意見，並提供自我控制。四號為一號在固執及理性當中帶來了創新、感覺及啟發、經驗不同的情感及熱情。若能互相欣賞對方，便能長久維持一段良好及平衡的關係。 
一號常以為自己是一個合理及理性的人，理想多關注社會時事、政冶及道德等問題，但四號卻喜歡以主觀及感覺行事。並專注於個人的選擇及品味之上。兩人關係有時會因此互相衝突。"
I,V,"一號與五號都會傾向以理性的態度面對事情而不會有很多情感的流露。一號與五號都會尊重其他人的界線。一號為五號帶來了邏輯與秩序而五號為一號帶來了好奇及喜愛混亂的能力。
一號相信他們的信念或多或少反映了世界的真相，常對事物作出道德層次的判斷。但是五號卻對人能否掌握世界的真相心存懷疑。兩人都難以親近和自己意見不同的人，關係會較為冷淡、非人化及理性。"
I,VIII,"一號與八號共同關注追求真理與公義。作為行動型的性格，一號帶來對信念及理想的堅持，而八號為抽象理念帶來較為實際及即時的行動。
一號與八號均希望擔任領導的角色並達到某種成就，但他們卻以不同的方式來達到目標。若一號覺得不合道德原則，他們寧願放棄他們的渴望。所以他們會不滿八號為自己的利益而過份進取。八號亦會覺得一號十分虛偽、自私及過份理想主義，也不接受一號表裡不一的生活。"
II,III,"兩種性格都樂於與人相處及尋找成為焦點的機會。二號樂於為自己的同伴感到驕傲，並為三號帶來私人關係、及人與人之間的互動。三號希望同伴為自己感到驕傲，並為二號帶來彈性、實際及目標導向的方向。 
兩人都十分關注自己的形象，而另一面則是羞愧及容易受傷。二號會覺得三號重工作而失去了一些有價值的事物。三號認為二號想多些相處是浪費時間，有時也會因他們過量工作而對二號感到內疚。"
II,IV,"二號與四號能自由地分享他們的情感，他們都願意追求溫情及建立聯繫。二號樂意主動給予四號信心與其他人交往。四號為二號帶來豐富的感情，使二號能較為放鬆及充滿被愛護的感覺。 
兩人間的關係有時會過份情緒化及充滿對對方不能明言的要求。二號會覺得四號太過情緒化，而且對別人的關心不足。四號可感覺二號心底的情感渴望及需要被愛，但四號會妒忌二號的社交能力及別人對他們的好感。"
III,II,"兩種性格都樂於與人相處及尋找成為焦點的機會。二號樂於為自己的同伴感到驕傲，並為三號帶來私人關係、及人與人之間的互動。三號希望同伴為自己感到驕傲，並為二號帶來彈性、實際及目標導向的方向。 
兩人都十分關注自己的形象，而另一面則是羞愧及容易受傷。二號會覺得三號重工作而失去了一些有價值的事物。三號認為二號想多些相處是浪費時間，有時也會因他們過量工作而對二號感到內疚。"
III,V,"三號和五號都注重自己的能力和成效，他們最能互相幫助提昇。五號帶給三號專門知識和資格。三號帶給五號自信心、表達能力和與人溝通的動力，且三號往往能夠主動與人溝通聯繫，創造機會讓五號的專門能力得以盡量發揮。所以這對往往是傑出的，精明，專業，成功而受到尊敬。
這對的問題源自雙方的競爭性。他們注重工作上的表現和別人的認同，往往會影響他們的自我價值。所以會互相比較，競爭。"
III,VI,"三號和六號都是勤勞實幹的人，知道要成功便要下功夫。他們都想在實際世界裡留下一點自己的成就。六號帶給三號多一點誠懇，忠心，一種默默耕耘的心態， 可以幫三號多的打開自己的心。三號帶給六號樂觀自信，對成功充滿信心和動力。這對往往可以成就持久的關係。
他們互有對方所需的特質，但當他們把自己內心感覺關閉起來，往往就是問題的開始。六號會覺得三號自大炫耀，而三號會覺得六號驚恐難測。"
III,VII,"這是特別相配的一對，雙方都活力十足，自信樂觀，喜歡交朋友，活潑而有吸引力，往往是最受歡迎的一對。相比之下，三號比較能與人溝通、專注目標達成使命。七號則較富樂趣，無拘無束，更豁達，無視失敗。
這一對往往容易不經意的傷害對方，但他們都不太能夠真正的面對問題，習慣性地注意好消息，來保持他們的活力和正面的形像。當以往的問題和痛苦聚集而被抑制時，往往會引伸到更大更痛苦的問題。"
III,IX,"這對都不喜歡衝突鬥爭，情願正面地看事物。九號是一種真正的豁達樂觀而三號則是想保持正面也不想讓別人看到自己悲傷消極。九號帶給三號很大的寬容和支持鼓勵，讓三號感覺有很大空間可以活出自己。三號帶給九號更強的自我價值、自尊心，並讓關係更豐富多元化。 
這對都不願把自己的問題或雙方的衝突提出來，害怕會影響關係，三號更不願發現關係的虛假和脆弱而保持沉默。長此下去，關係會出現問題。九號會越來越抽離退縮，而三號會覺得受忽視而情緒低落。"
IV,II,"二號與四號能自由地分享他們的情感，他們都願意追求溫情及建立聯繫。二號樂意主動給予四號信心與其他人交往。四號為二號帶來豐富的感情，使二號能較為放鬆及充滿被愛護的感覺。 
兩人間的關係有時會過份情緒化及充滿對對方不能明言的要求。二號會覺得四號太過情緒化，而且對別人的關心不足。四號可感覺二號心底的情感渴望及需要被愛，但四號會妒忌二號的社交能力及別人對他們的好感。"
IV,VII,"四號和七號都是有才藝和不甘平凡的人，喜歡和創意有關的人和事。四與七的創作組合能互相激發對方的創造力，而相互的特性也令他們創作的質和量得到提升。四號自我封閉的個性，會因為七號的開朗性格而得到改善。七號散漫的個性，也因為被四號的沉穩踏實所感染，得以在工作上有更佳的發揮。
四號情緒化的特性令這種負面情緒難以消除，而七號貪圖享樂和容易分心的個性，也令他們越來越疏離，最終走向關係破裂的階段。"
V,III,"三號和五號都注重自己的能力和成效，他們最能互相幫助提昇。五號帶給三號專門知識和資格。三號帶給五號自信心、表達能力和與人溝通的動力，且三號往往能夠主動與人溝通聯繫，創造機會讓五號的專門能力得以盡量發揮。所以這對往往是傑出的，精明，專業，成功而受到尊敬。
這對的問題源自雙方的競爭性。他們注重工作上的表現和別人的認同，往往會影響他們的自我價值。所以會互相比較，競爭。"
V,VI,"兩人都尊重細節與客觀性的事實，且能夠非常客觀地分析事情而不融入主觀意見或偏見的能力。六號比較會顯露他們內心的疑問，也經常會依賴自己信賴的權威來給自己意見和指引。相對來說，五號對自己獨立思考和處理新事物的能力更有自信，也不容易信賴權威，更會懷疑或否定一般的權威。六號的關心往往能突破五號自我孤立的防線。所以五號跟六號之間常會有一種理性的共棲關係。
當相互溝通和信任受到破壞的時候，五號會開始覺得六號太保守和猶疑不決，而六號會覺得五號實在太過獨立，甚至不能安份守己的在一個系統或群體理面運作。"
V,VIII,"他們各自帶來對方所缺乏但未必察覺的特質。五號需要更多參與在現實世界裡從以感受到自己的能力和力量。他們可以在八號的身上學到這些。而八號可以在五號身上學到多考慮自己行為後果，且多方面去考量事情，三思而後行。另一方面，五號跟八號相同的都堅持自己的獨立自主、需要自己的空間，但是他們可以看到互相防線背後的那份對尊嚴的執著和藏匿起來的脆弱而產生聯繫和一種共鳴。
五號對物質世界和自己的身體都不甚在乎，認同的是他們的頭腦和思想。而八號追求的物質目標與金錢。當這兩型受壓而沒有安全感時，他們的反應會是完全相反的：五號會停頓和隔離自己，越加孤僻；八號會大怒而採取對抗性和恐嚇威脅的行動。"
VI,III,"三號和六號都是勤勞實幹的人，知道要成功便要下功夫。他們都想在實際世界裡留下一點自己的成就。六號帶給三號多一點誠懇，忠心，一種默默耕耘的心態， 可以幫三號多的打開自己的心。三號帶給六號樂觀自信，對成功充滿信心和動力。這對往往可以成就持久的關係。
他們互有對方所需的特質，但當他們把自己內心感覺關閉起來，往往就是問題的開始。六號會覺得三號自大炫耀，而三號會覺得六號驚恐難測。"
VI,V,"兩人都尊重細節與客觀性的事實，且能夠非常客觀地分析事情而不融入主觀意見或偏見的能力。六號比較會顯露他們內心的疑問，也經常會依賴自己信賴的權威來給自己意見和指引。相對來說，五號對自己獨立思考和處理新事物的能力更有自信，也不容易信賴權威，更會懷疑或否定一般的權威。六號的關心往往能突破五號自我孤立的防線。所以五號跟六號之間常會有一種理性的共棲關係。
當相互溝通和信任受到破壞的時候，五號會開始覺得六號太保守和猶疑不決，而六號會覺得五號實在太過獨立，甚至不能安份守己的在一個系統或群體理面運作。"
VI,VIII,"基本上他們覺得大多數的人都自私和不可靠，而這世界太過難以預測了，所以必須能夠照顧自己和自己的利益，也必須有堅定的盟友會成為自己強而有力的後盾。他們都對信任有深層的矛盾，很難找到自己真正能夠信任的人，所以經過一段懷疑和測試之後，如果他們能夠達到真正的聯繫，那會是深層而鞏固的關係。他們都會欣賞力量，誠信，勇氣，負責任，投入工作，言出必行和保護弱小的心態，更會努力讓自己擁有這些特質。喜歡行動把事情做好，為自己和家人建造一個更美好和安全的世界。八號貢獻他的直接，決斷力，毅力，信心，和一種迎接挑戰，不怕困難，遇強更強的心態。六號往往成為八號的顧問或手下將領，而八號會看到六號內心的掙紮和克服它的堅持和不平凡的勇氣而被感動。
六號和八號都會情緒化，但他們會把情緒和自己的弱點匿藏起來。八號會用表面的堅強和勇氣虛張聲勢，而六號則會以防衛性反應和威嚇咆哮來達到目的。"
VI,IX,他們追求的東西很相近，六號要安全感和可預測性，而九號要的是安全感和自主權。雙方都傾向尋找主流意見，負責任，尊重權威和安分守己。六號比較頭腦敏銳和多疑，注意細節而往往會看到可能發生的，尤其是威脅安全的問題。他們也很難信任別人，需要別人先證明自己可靠。相反的，九號很容易相信別人，因為雙方都很有耐性而又不喜歡見到變動，覺得熟悉的便是安全的，所以關係裡的不合會一直拖到其中一方忍無可忍(通常是六號)而把積聚的不滿和憤怒都爆發說出來，對關係往往造成永久的傷害。
VII,III,"這是特別相配的一對，雙方都活力十足，自信樂觀，喜歡交朋友，活潑而有吸引力，往往是最受歡迎的一對。相比之下，三號比較能與人溝通、專注目標達成使命。七號則較富樂趣，無拘無束，更豁達，無視失敗。
這一對往往容易不經意的傷害對方，但他們都不太能夠真正的面對問題，習慣性地注意好消息，來保持他們的活力和正面的形像。當以往的問題和痛苦聚集而被抑制時，往往會引伸到更大更痛苦的問題。"
VII,IV,"四號和七號都是有才藝和不甘平凡的人，喜歡和創意有關的人和事。四與七的創作組合能互相激發對方的創造力，而相互的特性也令他們創作的質和量得到提升。四號自我封閉的個性，會因為七號的開朗性格而得到改善。七號散漫的個性，也因為被四號的沉穩踏實所感染，得以在工作上有更佳的發揮。
四號情緒化的特性令這種負面情緒難以消除，而七號貪圖享樂和容易分心的個性，也令他們越來越疏離，最終走向關係破裂的階段。"
VII,VIII,"七號和八號都是充滿活力，獨立自主，自我肯定，有堅強意志去達成意願的人。他們注重實質事務，重視這 一刻的成就和滿足。七號會比較輕鬆愉快，與人親近，而八號則較沉實決斷。
當七號和八號的充沛精力得不到正面宣洩的話，往往是問題的開端。八號傾向以權威口氣恐嚇和指揮七號，七號會逃避受控，也會侮辱或蔑視八號的權威。結果難以控制。"
VII,IX,"七號和九號都屬於樂觀主義者。會採取向前而可行的行動多於為過去的事情哀傷。七號比九號較主動、自信、好奇，會為關係帶來新意和樂趣。相對的，九號較平穩寬大，會為關係放下自己意願和付出。 
七號和九號的關係裡最大的問題是他們都不願意去面對和解決困難，往往選擇容忍逃避的途徑，以免影響自己的心情。如果問題無可避免，他們會埋怨對方，把怨氣發泄在其他地方而不是把問題理順。"
VIII,V,"他們各自帶來對方所缺乏但未必察覺的特質。五號需要更多參與在現實世界裡從以感受到自己的能力和力量。他們可以在八號的身上學到這些。而八號可以在五號身上學到多考慮自己行為後果，且多方面去考量事情，三思而後行。另一方面，五號跟八號相同的都堅持自己的獨立自主、需要自己的空間，但是他們可以看到互相防線背後的那份對尊嚴的執著和藏匿起來的脆弱而產生聯繫和一種共鳴。
五號對物質世界和自己的身體都不甚在乎，認同的是他們的頭腦和思想。而八號追求的物質目標與金錢。當這兩型受壓而沒有安全感時，他們的反應會是完全相反的：五號會停頓和隔離自己，越加孤僻；八號會大怒而採取對抗性和恐嚇威脅的行動。"
VIII,VI,"基本上他們覺得大多數的人都自私和不可靠，而這世界太過難以預測了，所以必須能夠照顧自己和自己的利益，也必須有堅定的盟友會成為自己強而有力的後盾。他們都對信任有深層的矛盾，很難找到自己真正能夠信任的人，所以經過一段懷疑和測試之後，如果他們能夠達到真正的聯繫，那會是深層而鞏固的關係。他們都會欣賞力量，誠信，勇氣，負責任，投入工作，言出必行和保護弱小的心態，更會努力讓自己擁有這些特質。喜歡行動把事情做好，為自己和家人建造一個更美好和安全的世界。八號貢獻他的直接，決斷力，毅力，信心，和一種迎接挑戰，不怕困難，遇強更強的心態。六號往往成為八號的顧問或手下將領，而八號會看到六號內心的掙紮和克服它的堅持和不平凡的勇氣而被感動。
六號和八號都會情緒化，但他們會把情緒和自己的弱點匿藏起來。八號會用表面的堅強和勇氣虛張聲勢，而六號則會以防衛性反應和威嚇咆哮來達到目的。"
VIII,VII,"七號和八號都是充滿活力，獨立自主，自我肯定，有堅強意志去達成意願的人。他們注重實質事務，重視這 一刻的成就和滿足。七號會比較輕鬆愉快，與人親近，而八號則較沉實決斷。
當七號和八號的充沛精力得不到正面宣洩的話，往往是問題的開端。八號傾向以權威口氣恐嚇和指揮七號，七號會逃避受控，也會侮辱或蔑視八號的權威。結果難以控制。"
VIII,VIII,"八號與九號往往是一種領導者和欣賞者的關係。八號會帶來領導力，而九號往往欽佩這種成事在人的大無畏精神而自然地接近八號。九號對八號往往有安撫的作用，帶來他們所需要的平靜安詳感覺。
當有壓力時，八號會越加緊迫，而九號會越加退縮封閉。八號會覺得九號成為自己的一個障礙，妨礙自己計劃的進度。相對的，九號會看到八號較不健康時的自大，自私和自以為是，從而更為消極反抗八號，更封閉自己。"
IX,III,"這對都不喜歡衝突鬥爭，情願正面地看事物。九號是一種真正的豁達樂觀而三號則是想保持正面也不想讓別人看到自己悲傷消極。九號帶給三號很大的寬容和支持鼓勵，讓三號感覺有很大空間可以活出自己。三號帶給九號更強的自我價值、自尊心，並讓關係更豐富多元化。 
這對都不願把自己的問題或雙方的衝突提出來，害怕會影響關係，三號更不願發現關係的虛假和脆弱而保持沉默。長此下去，關係會出現問題。九號會越來越抽離退縮，而三號會覺得受忽視而情緒低落。"
IX,VI,他們追求的東西很相近，六號要安全感和可預測性，而九號要的是安全感和自主權。雙方都傾向尋找主流意見，負責任，尊重權威和安分守己。六號比較頭腦敏銳和多疑，注意細節而往往會看到可能發生的，尤其是威脅安全的問題。他們也很難信任別人，需要別人先證明自己可靠。相反的，九號很容易相信別人，因為雙方都很有耐性而又不喜歡見到變動，覺得熟悉的便是安全的，所以關係裡的不合會一直拖到其中一方忍無可忍(通常是六號)而把積聚的不滿和憤怒都爆發說出來，對關係往往造成永久的傷害。
IX,VII,"七號和九號都屬於樂觀主義者。會採取向前而可行的行動多於為過去的事情哀傷。七號比九號較主動、自信、好奇，會為關係帶來新意和樂趣。相對的，九號較平穩寬大，會為關係放下自己意願和付出。 
七號和九號的關係裡最大的問題是他們都不願意去面對和解決困難，往往選擇容忍逃避的途徑，以免影響自己的心情。如果問題無可避免，他們會埋怨對方，把怨氣發泄在其他地方而不是把問題理順。"
IX,VIII,"八號與九號往往是一種領導者和欣賞者的關係。八號會帶來領導力，而九號往往欽佩這種成事在人的大無畏精神而自然地接近八號。九號對八號往往有安撫的作用，帶來他們所需要的平靜安詳感覺。
當有壓力時，八號會越加緊迫，而九號會越加退縮封閉。八號會覺得九號成為自己的一個障礙，妨礙自己計劃的進度。相對的，九號會看到八號較不健康時的自大，自私和自以為是，從而更為消極反抗八號，更封閉自己。"
IX,IX,"兩位九號往往是一對安靜，溫和，平易近人，寬大包容，互相支持的伴侶。他們不會輕易讓生命和關係裡的波折影響自己，樂觀豁達，容易原諒自己，更容易原諒對方。他們不記仇，更不想見到鬥爭，喜歡安逸地過日子。
兩位九號關係的平穩和慣性往往也是他們問題的禍心。他們可以因此而不願把問題提出來討論，怕會影響關係。慢慢的，溝通會越來越少，越來越膚淺。九號會把對方理想化，從而不用跟真正的對方打交道，只是在想像中與自己理想的對方接觸。"
